Date,Open,High,Low,Close,Adj Close,Volume,RSI,EMA12,EMA26,MCAD,Target
1986/12/31,2568.3,2568.3,2568.3,2568.3,2568.3,-,,,,,0
1987/1/2,2540.1,2540.1,2540.1,2540.1,2540.1,-,,,,,1
1987/1/5,2552.4,2552.4,2552.4,2552.4,2552.4,-,,,,,1
1987/1/6,2583.9,2583.9,2583.9,2583.9,2583.9,-,,,,,1
1987/1/7,2607.1,2607.1,2607.1,2607.1,2607.1,-,,,,,0
1987/1/8,2603.3,2603.3,2603.3,2603.3,2603.3,-,,,,,0
1987/1/9,2561.7,2561.7,2561.7,2561.7,2561.7,-,,,,,1
1987/1/12,2614.9,2614.9,2614.9,2614.9,2614.9,-,,,,,0
1987/1/13,2590.8,2590.8,2590.8,2590.8,2590.8,-,,,,,0
1987/1/14,2578.2,2578.2,2578.2,2578.2,2578.2,-,,,,,0
1987/1/15,2559.1,2559.1,2559.1,2559.1,2559.1,-,,,,,0
1987/1/16,2542.6,2542.6,2542.6,2542.6,2542.6,-,,2575.2,,,0
1987/1/19,2460.5,2460.5,2460.5,2460.5,2460.5,-,,2557.553846,,,0
1987/1/20,2449.9,2449.9,2449.9,2449.9,2449.9,-,26.879531923682194,2540.991716,,,1
1987/1/21,2533.9,2533.9,2533.9,2533.9,2533.9,-,46.464277546724304,2539.900683,,,1
1987/1/22,2536.9,2536.9,2536.9,2536.9,2536.9,-,47.01015887753024,2539.439039,,,0
1987/1/23,2499.4,2499.4,2499.4,2499.4,2499.4,-,41.33627310632897,2533.279187,,,0
1987/1/26,2484.4,2484.4,2484.4,2484.4,2484.4,-,39.29334740618383,2525.759312,,,1
1987/1/27,2524,2524,2524,2524,2524,-,46.77240243911675,2525.488649,,,1
1987/1/28,2553.3,2553.3,2553.3,2553.3,2553.3,-,51.53052751017734,2529.767318,,,1
1987/2/2,2585.2,2585.2,2585.2,2585.2,2585.2,-,56.128718974215154,2538.295423,,,1
1987/2/3,2606.4,2606.4,2606.4,2606.4,2606.4,-,58.918047661173915,2548.77305,,,1
1987/2/4,2636.6,2636.6,2636.6,2636.6,2636.6,-,62.56900313450183,2562.284889,,,1
1987/2/5,2672.4,2672.4,2672.4,2672.4,2672.4,-,66.38295939196566,2579.225675,,,1
1987/2/6,2673.6,2673.6,2673.6,2673.6,2673.6,-,66.50615415154076,2593.744802,,,1
1987/2/9,2713.7,2713.7,2713.7,2713.7,2713.7,-,70.40867297934471,2612.199448,2570.484615,41.71483243,0
1987/2/10,2694.9,2694.9,2694.9,2694.9,2694.9,-,66.49684975124177,2624.92261,2579.70057,45.22203989,1
1987/2/11,2739.5,2739.5,2739.5,2739.5,2739.5,-,70.66128272841823,2642.549901,2591.537565,51.01233588,1
1987/2/12,2754.7,2754.7,2754.7,2754.7,2754.7,-,71.94134329811847,2659.803762,2603.623671,56.18009101,0
1987/2/13,2740.5,2740.5,2740.5,2740.5,2740.5,-,68.91623864202123,2672.218568,2613.762658,58.45590953,1
1987/2/16,2766.1,2766.1,2766.1,2766.1,2766.1,-,71.26235396903976,2686.661865,2625.046906,61.61495925,1
1987/2/17,2792.1,2792.1,2792.1,2792.1,2792.1,-,73.45382535277417,2702.883117,2637.421209,65.46190751,1
1987/2/18,2801.5,2801.5,2801.5,2801.5,2801.5,-,74.21927893850098,2718.054945,2649.575194,68.47975121,0
1987/2/19,2775.8,2775.8,2775.8,2775.8,2775.8,-,68.41118069847897,2726.938799,2658.925179,68.01362019,1
1987/2/20,2827.4,2827.4,2827.4,2827.4,2827.4,-,72.98269884709079,2742.394369,2671.404796,70.98957316,1
1987/2/23,2879,2879,2879,2879,2879,-,76.63,2763.41062,2686.782218,76.62840157,0
1987/2/24,2848.2,2848.2,2848.2,2848.2,2848.2,-,70.51,2776.45514,2698.739091,77.71604888,1
1987/2/25,2873.6,2873.6,2873.6,2873.6,2873.6,-,72.46438270292283,2791.400503,2711.691751,79.70875206,0
1987/2/26,2843.6,2843.6,2843.6,2843.6,2843.6,-,66.84031754478181,2799.431195,2721.462732,77.9684625,1
1987/2/27,2877.9,2877.9,2877.9,2877.9,2877.9,-,69.73270764862465,2811.503319,2733.050678,78.45264063,1
1987/3/2,2894.3,2894.3,2894.3,2894.3,2894.3,-,71.03369769590515,2824.24127,2744.995072,79.24619739,1
1987/3/3,2939.1,2939.1,2939.1,2939.1,2939.1,-,74.28532187579746,2841.911844,2759.373215,82.53862849,0
1987/3/4,2890.9,2890.9,2890.9,2890.9,2890.9,-,65.73543211163346,2849.448483,2769.11594,80.33254314,0
1987/3/5,2798.4,2798.4,2798.4,2798.4,2798.4,-,53.10372917032681,2841.59487,2771.285129,70.30974073,1
1987/3/6,2798.6,2798.6,2798.6,2798.6,2798.6,-,53.124703078377344,2834.980275,2773.308453,61.67182157,1
1987/3/9,2820.4,2820.4,2820.4,2820.4,2820.4,-,55.462864613904536,2832.737156,2776.796716,55.94043965,0
1987/3/10,2731.1,2731.1,2731.1,2731.1,2731.1,-,45.459713622588964,2817.10067,2773.411774,43.68889609,1
1987/3/11,2760.9,2760.9,2760.9,2760.9,2760.9,-,48.77962700355236,2808.454413,2772.484976,35.96943723,0
1987/3/12,2750.1,2750.1,2750.1,2750.1,2750.1,-,47.64763626330804,2799.476811,2770.82683,28.64998157,0
1987/3/13,2721.2,2721.2,2721.2,2721.2,2721.2,-,44.660940187881266,2787.434225,2767.150768,20.28345669,0
1987/3/16,2669.6,2669.6,2669.6,2669.6,2669.6,-,39.85706685125412,2769.305883,2759.924785,9.381097232,0
1987/3/17,2629.3,2629.3,2629.3,2629.3,2629.3,-,36.55036224862248,2747.766516,2750.248875,-2.482359289,1
1987/3/18,2724,2724,2724,2724,2724,-,47.56019557384505,2744.110129,2748.304514,-4.194385233,0
1987/3/19,2721.3,2721.3,2721.3,2721.3,2721.3,-,47.308145984478514,2740.600878,2746.30418,-5.703301455,1
1987/3/20,2780.6,2780.6,2780.6,2780.6,2780.6,-,53.177287056286595,2746.754589,2748.844611,-2.090021554,1
1987/3/23,2813.4,2813.4,2813.4,2813.4,2813.4,-,56.09,2757.007729,2753.626492,3.381237872,1
1987/3/24,2828.1,2828.1,2828.1,2828.1,2828.1,-,57.37081224074474,2767.945002,2759.143048,8.801954086,1
1987/3/25,2831.5,2831.5,2831.5,2831.5,2831.5,-,57.67815600681901,2777.722694,2764.502822,13.21987187,0
1987/3/26,2783.1,2783.1,2783.1,2783.1,2783.1,-,51.93764287676754,2778.549972,2765.880391,12.669581,1
1987/3/27,2798.7,2798.7,2798.7,2798.7,2798.7,-,53.54258118725397,2781.649976,2768.311473,13.33850318,0
1987/3/30,2774.9,2774.9,2774.9,2774.9,2774.9,-,50.757787637744094,2780.611518,2768.799512,11.81200627,0
1987/3/31,2713.8,2713.8,2713.8,2713.8,2713.8,-,44.37666234565514,2770.332823,2764.725474,5.607349086,0
1987/4/1,2695.9,2695.9,2695.9,2695.9,2695.9,-,42.68367805882263,2758.88162,2759.627291,-0.745671209,1
1987/4/2,2709.4,2709.4,2709.4,2709.4,2709.4,-,44.406297375341765,2751.269063,2755.906751,-4.637688007,0
1987/4/3,2680,2680,2680,2680,2680,-,41.482330854095075,2740.304592,2750.284028,-9.979436917,0
1987/4/7,2664.7,2664.7,2664.7,2664.7,2664.7,-,40.01,2728.673116,2743.944471,-15.27135487,1
1987/4/8,2729.6,2729.6,2729.6,2729.6,2729.6,-,48.395640271250954,2728.815713,2742.881917,-14.06620393,1
1987/4/9,2785.5,2785.5,2785.5,2785.5,2785.5,-,54.32086591165804,2737.536373,2746.038812,-8.502439468,0
1987/4/10,2766.4,2766.4,2766.4,2766.4,2766.4,-,52.11885431086783,2741.976931,2747.547049,-5.570117575,0
1987/4/13,2708.9,2708.9,2708.9,2708.9,2708.9,-,46.06486214066899,2736.888172,2744.684304,-7.796131847,0
1987/4/14,2668.4,2668.4,2668.4,2668.4,2668.4,-,42.33479761710566,2726.35153,2739.033615,-12.68208455,1
1987/4/15,2693.6,2693.6,2693.6,2693.6,2693.6,-,45.302654923911874,2721.312833,2735.668162,-14.35532857,1
1987/4/16,2721.1,2721.1,2721.1,2721.1,2721.1,-,48.42231908232485,2721.28009,2734.589039,-13.30894907,0
1987/4/21,2713.4,2713.4,2713.4,2713.4,2713.4,-,47.60362002339756,2720.067768,2733.01948,-12.95171214,1
1987/4/22,2716.9,2716.9,2716.9,2716.9,2716.9,-,48.03371304463375,2719.580419,2731.825445,-12.24502553,1
1987/4/23,2719.9,2719.9,2719.9,2719.9,2719.9,-,48.424502138902284,2719.629586,2730.942079,-11.31249299,0
1987/4/24,2707.6,2707.6,2707.6,2707.6,2707.6,-,46.86829139352911,2717.77888,2729.213036,-11.4341556,0
